"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X11079"	41	30	31	39	40	12	24	42
"X1108"	38	28	31	37	38	11	24	39
"X11080"	36	30	29	38	39	11	24	39
"X11082"	40	31	30	40	41	12	24	42
"X11088"	35	26	27	34	36	11	24	38
"X11090"	38	30	33	39	40	11	24	40
"X11091"	41	31	33	40	41	12	24	42
"X11096"	41	30	31	40	39	12	23	42
"X11098"	39	28	31	37	40	11	24	39
"X11099"	38	31	29	38	39	12	24	42
"X11100"	41	31	33	40	41	12	24	42
"X11101"	39	30	33	38	38	11	24	41
"X11102"	34	28	32	39	37	10	24	38
"X11106"	41	31	33	40	41	12	24	42
"X1111"	41	31	33	40	40	12	24	41
"X11111"	39	29	32	40	40	12	24	41
"X11112"	38	28	32	33	38	12	24	37
"X11116"	39	31	30	40	40	12	23	40
"X11117"	40	31	31	38	40	12	24	41
"X11118"	39	27	26	34	37	11	22	33
"X11119"	41	31	32	40	41	12	24	41
"X11121"	38	26	29	38	39	12	23	40
"X11122"	40	30	32	39	40	12	24	42
"X11123"	34	30	29	35	36	12	22	37
"X11124"	36	26	29	35	37	10	24	34
"X11127"	40	30	33	40	40	12	23	42
"X11129"	40	31	33	40	41	12	24	42
"X1113"	39	29	33	40	40	12	24	40
"X11132"	37	30	32	37	40	12	24	38
"X11134"	40	29	31	36	37	12	24	41
"X11136"	36	29	32	39	38	12	24	39
"X11141"	41	30	32	37	41	12	24	38
"X11144"	37	29	30	36	39	11	23	40
"X11148"	38	28	28	36	37	11	24	38
"X1115"	41	30	31	37	40	11	21	40
"X11152"	34	29	30	37	39	11	23	37
"X11155"	37	27	29	36	38	11	23	40
"X11157"	41	31	33	40	41	12	24	41
"X1116"	39	31	31	40	40	12	23	42
"X11160"	39	28	31	38	38	12	23	39
"X11165"	34	29	28	37	34	10	22	37
"X11168"	39	28	31	36	40	11	24	39
"X11171"	40	31	33	40	41	12	24	42
"X11175"	40	31	32	40	41	12	24	40
"X11179"	40	31	30	39	38	11	24	39
"X1118"	39	28	30	37	39	11	23	36
"X11180"	37	30	32	38	40	12	24	38
"X11191"	41	29	30	37	37	12	24	38
"X11193"	33	29	32	36	38	12	23	38
"X1120"	39	30	33	40	39	12	24	41
"X11202"	39	31	33	40	41	12	24	41
"X11203"	40	31	33	39	41	12	24	41
"X11205"	41	31	33	40	41	12	24	42
"X11207"	34	29	29	37	36	11	22	37
"X11210"	40	30	32	40	41	12	23	39
"X11211"	41	30	33	40	39	12	24	41
"X11212"	39	29	33	38	40	12	23	39
"X11213"	37	27	25	35	37	11	21	37
"X11216"	40	31	33	40	41	12	24	41
"X11217"	38	29	31	37	40	11	24	40
"X1122"	40	30	33	39	41	12	24	42
"X11224"	37	27	29	37	38	12	24	36
"X11227"	41	27	28	39	39	12	23	38
"X11237"	41	31	33	38	41	12	23	41
"X11238"	37	27	29	36	39	11	24	38
"X1124"	37	27	29	37	38	12	24	36
"X11245"	39	31	33	40	41	12	24	42
"X11246"	38	28	29	38	39	12	24	41
"X11247"	38	29	30	33	35	10	24	35
"X11248"	38	28	27	33	37	11	23	38
"X11253"	40	29	32	40	41	12	24	41
"X11258"	36	28	31	37	38	11	24	38
"X1126"	41	31	33	40	41	12	24	42
"X11261"	35	28	31	38	37	11	23	37
"X11264"	37	27	33	39	38	10	23	37
"X11274"	37	27	32	39	39	12	22	36
"X11275"	41	30	33	40	41	12	23	42
"X11276"	41	31	32	40	41	12	24	42
"X11281"	38	30	33	40	39	12	24	41
"X11289"	41	30	33	40	40	12	24	42
"X11291"	39	31	33	39	39	11	24	42
"X11296"	40	28	31	37	37	11	24	40
"X11299"	40	31	32	40	41	12	24	42
"X113"	40	31	33	40	41	12	24	42
"X11302"	41	31	33	40	40	12	24	42
"X11303"	37	30	31	38	39	12	24	41
"X11305"	41	31	31	40	39	12	24	42
"X11316"	39	30	32	39	41	11	23	41
"X1132"	37	30	32	37	40	12	24	38
"X11325"	39	31	32	37	40	12	23	41
"X11328"	30	25	28	34	36	11	24	35
"X11329"	41	30	32	35	40	12	20	40
"X11330"	40	29	33	38	38	12	24	40
"X11333"	40	31	33	40	41	12	24	42
"X11335"	41	30	32	40	41	12	23	42
"X11348"	39	27	30	34	39	11	24	38
"X11350"	41	31	32	40	40	12	24	42
"X11351"	36	27	27	38	39	12	24	38
"X11353"	38	26	29	38	40	10	24	34
"X11354"	40	29	30	37	39	12	24	39
"X1137"	38	29	30	37	36	11	23	39
"X11372"	40	31	32	40	41	12	24	42
"X11375"	35	30	30	39	36	10	23	35
"X11377"	36	26	32	38	39	11	24	40
"X11378"	33	26	29	35	37	11	24	36
"X11382"	40	30	32	39	38	11	24	39
"X11383"	35	25	31	35	40	11	20	36
"X1139"	40	30	32	40	40	12	24	41
"X11393"	36	30	32	35	38	12	23	37
"X11398"	38	28	31	37	40	11	24	39
"X114"	41	31	33	39	41	12	24	42
"X11404"	38	29	31	39	40	11	24	40
"X11405"	40	30	33	40	41	12	24	42
"X11407"	41	31	33	40	41	12	24	42
"X11408"	39	27	29	36	39	11	24	38
"X1141"	41	30	33	39	41	12	24	40
"X11411"	40	29	33	38	39	12	24	42
"X11412"	35	26	29	39	36	10	23	38
"X11416"	34	30	27	37	38	12	23	37
"X11419"	40	29	32	39	40	11	24	40
"X1142"	41	29	31	36	39	12	24	41
"X11424"	36	26	29	36	38	12	24	35
"X11425"	39	31	33	37	40	12	24	42
"X11428"	39	28	31	36	38	11	24	36
"X11432"	41	28	29	38	39	11	24	39
"X11433"	40	31	33	40	41	12	23	42
"X11434"	41	31	33	39	41	12	24	42
"X11441"	40	31	32	40	40	12	24	42
"X11447"	38	31	31	37	39	12	24	40
"X11449"	41	31	33	39	41	12	24	42
"X11453"	34	29	31	40	37	11	23	35
"X11456"	39	29	33	38	39	12	24	40
"X11457"	41	31	33	39	41	12	24	42
"X11458"	39	28	31	37	40	11	24	39
"X11461"	41	30	33	40	41	12	24	42
"X11463"	35	29	28	38	37	11	23	36
"X11464"	40	31	31	39	40	12	24	42
"X11471"	41	30	31	40	40	12	24	41
"X11472"	36	28	32	38	39	12	24	34
"X11478"	35	26	30	36	39	11	24	38
"X11479"	40	31	31	40	39	12	24	42
"X11481"	41	30	31	40	41	12	23	41
"X11483"	37	28	31	37	38	12	23	40
"X11489"	40	30	31	37	41	12	24	41
"X11491"	41	31	33	40	40	12	24	41
